key,delta,comparison,n_pairs,median_diff,mean_diff,n_better,n_worse,n_tied,statistic,p_value,p_adjusted,significant_at_0.05,direction
sub12_k3_simple,3,xgb_cal_deployable_vs_uniform,30,0.017667,0.017422,0,30,0,0.000000,0.000002,0.000004,True,worse
sub12_k3_simple,3,benefit_model_deployable_vs_uniform,30,0.018000,0.017556,0,30,0,0.000000,0.000002,0.000003,True,worse
sub12_k3_simple,4,oracle_vs_uniform,30,-0.064000,-0.062356,30,0,0,0.000000,0.000002,0.000004,True,better
sub12_k3_simple,4,xgb_cal_vs_uniform,30,0.062000,0.061467,0,30,0,0.000000,0.000002,0.000004,True,worse
sub12_k3_simple,4,xgb_cal_deployable_vs_uniform,30,0.013333,0.013044,0,30,0,0.000000,0.000002,0.000004,True,worse
sub12_k3_simple,4,benefit_model_deployable_vs_uniform,30,0.007333,0.007311,0,30,0,0.000000,0.000002,0.000003,True,worse
sub12_k5_constrained,1,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub12_k5_constrained,1,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub12_k5_constrained,1,xgb_cal_deployable_vs_uniform,30,0.001000,0.001156,0,24,6,0.000000,0.000017,0.000031,True,worse
sub12_k5_constrained,2,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub12_k5_constrained,2,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub12_k5_constrained,2,xgb_cal_deployable_vs_uniform,30,0.000000,0.000422,13,14,3,151.000000,0.360558,0.385797,False,ns
sub12_k5_constrained,2,benefit_model_deployable_vs_uniform,30,0.002000,0.002356,1,27,2,1.000000,0.000004,0.000007,True,worse
sub12_k5_constrained,3,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub12_k5_constrained,3,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub12_k5_constrained,3,xgb_cal_deployable_vs_uniform,30,0.002667,0.002644,1,27,2,2.000000,0.000005,0.000009,True,worse
sub12_k5_constrained,3,benefit_model_deployable_vs_uniform,30,0.010333,0.010200,0,30,0,0.000000,0.000002,0.000003,True,worse
sub12_k5_constrained,4,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub12_k5_constrained,4,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub12_k5_constrained,4,xgb_cal_deployable_vs_uniform,30,0.002000,0.001867,3,26,1,20.500000,0.000020,0.000035,True,worse
sub12_k5_constrained,4,benefit_model_deployable_vs_uniform,30,0.009667,0.009222,0,30,0,0.000000,0.000002,0.000003,True,worse
