key,model,regime,n,frac_total,class_prevalence,is_degenerate,auroc,pr_auc,f1,precision,recall,accuracy,ece,brier,min_class_n
sub09_k5_simple,cnn,under_failure,1489,0.992667,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.002376,0.001076,0.000000
sub09_k5_simple,cnn,informative,11,0.007333,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.147925,0.022382,0.000000
sub09_k5_simple,cnn,saturated,0,0.000000,,True,,,,,,,,,
sub09_k5_simple,cnn,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.001274,0.001232,0.000000
sub09_k5_constrained,xgboost,under_failure,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000800,0.000366,0.000000
sub09_k5_constrained,xgboost,informative,0,0.000000,,True,,,,,,,,,
sub09_k5_constrained,xgboost,saturated,0,0.000000,,True,,,,,,,,,
sub09_k5_constrained,xgboost,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000800,0.000366,0.000000
sub09_k5_constrained,random_forest,under_failure,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000981,0.000360,0.000000
sub09_k5_constrained,random_forest,informative,0,0.000000,,True,,,,,,,,,
sub09_k5_constrained,random_forest,saturated,0,0.000000,,True,,,,,,,,,
sub09_k5_constrained,random_forest,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000981,0.000360,0.000000
sub09_k5_constrained,logistic_regression,under_failure,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.011156,0.000597,0.000000
sub09_k5_constrained,logistic_regression,informative,0,0.000000,,True,,,,,,,,,
sub09_k5_constrained,logistic_regression,saturated,0,0.000000,,True,,,,,,,,,
sub09_k5_constrained,logistic_regression,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.011156,0.000597,0.000000
sub09_k5_constrained,cnn,under_failure,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000275,0.000419,0.000000
sub09_k5_constrained,cnn,informative,0,0.000000,,True,,,,,,,,,
sub09_k5_constrained,cnn,saturated,0,0.000000,,True,,,,,,,,,
sub09_k5_constrained,cnn,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000275,0.000419,0.000000
sub09_k3_simple,xgboost,under_failure,478,0.318667,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.013098,0.002202,0.000000
sub09_k3_simple,xgboost,informative,874,0.582667,0.930206,False,0.968766,0.997290,0.983587,0.972356,0.995080,0.969108,0.017857,0.006497,61.000000
sub09_k3_simple,xgboost,saturated,148,0.098667,1.000000,True,,,1.000000,1.000000,1.000000,1.000000,0.088479,0.010673,0.000000
sub09_k3_simple,xgboost,aggregate,1500,1.000000,0.640667,False,0.996994,0.998103,0.986090,0.976531,0.995838,0.982000,0.004625,0.005541,539.000000
sub09_k3_simple,random_forest,under_failure,478,0.318667,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.011316,0.001790,0.000000
sub09_k3_simple,random_forest,informative,874,0.582667,0.930206,False,0.974623,0.997583,0.982927,0.974607,0.991390,0.967963,0.019791,0.006498,61.000000
sub09_k3_simple,random_forest,saturated,148,0.098667,1.000000,True,,,1.000000,1.000000,1.000000,1.000000,0.077015,0.009116,0.000000
sub09_k3_simple,random_forest,aggregate,1500,1.000000,0.640667,False,0.997567,0.998288,0.985537,0.978462,0.992716,0.981333,0.005126,0.005256,539.000000
sub09_k3_simple,logistic_regression,under_failure,478,0.318667,0.000000,True,,,0.000000,0.000000,0.000000,0.663180,0.305823,0.147265,0.000000
sub09_k3_simple,logistic_regression,informative,874,0.582667,0.930206,False,0.757889,0.967939,0.928844,0.960578,0.899139,0.871854,0.179497,0.059746,61.000000
sub09_k3_simple,logistic_regression,saturated,148,0.098667,1.000000,True,,,0.982818,1.000000,0.966216,0.966216,0.107463,0.024775,0.000000
sub09_k3_simple,logistic_regression,aggregate,1500,1.000000,0.640667,False,0.881959,0.924161,0.862784,0.820657,0.909469,0.814667,0.139636,0.084185,539.000000
sub09_k3_simple,cnn,under_failure,478,0.318667,0.000000,True,,,0.000000,0.000000,0.000000,0.935146,0.190129,0.057202,0.000000
sub09_k3_simple,cnn,informative,874,0.582667,0.930206,False,0.759664,0.969907,0.845888,0.965300,0.752768,0.744851,0.122912,0.037485,61.000000
sub09_k3_simple,cnn,saturated,148,0.098667,1.000000,True,,,0.950355,1.000000,0.905405,0.905405,0.202905,0.062860,0.000000
sub09_k3_simple,cnn,aggregate,1500,1.000000,0.640667,False,0.930211,0.953200,0.847727,0.933667,0.776275,0.821333,0.050912,0.046272,539.000000
sub09_k3_constrained,xgboost,under_failure,1295,0.863333,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.010071,0.001627,0.000000
sub09_k3_constrained,xgboost,informative,186,0.124000,0.279570,False,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.087443,0.009524,52.000000
sub09_k3_constrained,xgboost,saturated,19,0.012667,1.000000,True,,,1.000000,1.000000,1.000000,1.000000,0.071892,0.008119,0.000000
sub09_k3_constrained,xgboost,aggregate,1500,1.000000,0.047333,False,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.002529,0.002689,71.000000
sub09_k3_constrained,random_forest,under_failure,1295,0.863333,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.009719,0.001607,0.000000
sub09_k3_constrained,random_forest,informative,186,0.124000,0.279570,False,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.090173,0.010139,52.000000
sub09_k3_constrained,random_forest,saturated,19,0.012667,1.000000,True,,,1.000000,1.000000,1.000000,1.000000,0.057100,0.005199,0.000000
sub09_k3_constrained,random_forest,aggregate,1500,1.000000,0.047333,False,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.002067,0.002711,71.000000
sub09_k3_constrained,logistic_regression,under_failure,1295,0.863333,0.000000,True,,,0.000000,0.000000,0.000000,0.886486,0.149127,0.071149,0.000000
