key,delta,model,tf_forced,tf_abstain,abstained,val_gain_pp,gain_forced_pp,gain_abstain_pp,p_forced,p_abstain,p_adj_forced,p_adj_abstain,direction_forced,direction_abstain
sub12_k5_constrained,1,risk,0.05,0,True,-0.12,-0.115556,0,1.72508e-05,,3.12854e-05,,worse,ns
sub12_k5_constrained,2,risk,0.3,0.3,False,0.0777778,-0.0422222,-0.0422222,0.360558,0.360558,0.385797,0.39545,ns,ns
sub12_k5_constrained,2,benefit,0.05,0,True,-0.257778,-0.235556,0,4.07932e-06,,6.51123e-06,,worse,ns
sub12_k5_constrained,3,risk,0.05,0,True,-0.242222,-0.264444,0,4.63599e-06,,9.0191e-06,,worse,ns
sub12_k5_constrained,3,benefit,0.05,0,True,-1.00444,-1.02,0,1.71377e-06,,3.0571e-06,,worse,ns
sub12_k5_constrained,4,risk,0.05,0,True,-0.151111,-0.186667,0,1.99783e-05,,3.47336e-05,,worse,ns
sub12_k5_constrained,4,benefit,0.05,0,True,-0.922222,-0.922222,0,1.70945e-06,,3.0571e-06,,worse,ns
sub12_k5_simple,1,risk,0.05,0,True,-0.113333,-0.106667,0,1.58089e-05,,2.91646e-05,,worse,ns
sub12_k5_simple,2,risk,0.1,0.1,False,0.717778,0.633333,0.633333,1.69548e-06,1.69548e-06,3.70228e-06,4.90177e-06,better,better
sub12_k5_simple,2,benefit,0.05,0,True,-0.137778,-0.195556,0,0.000104894,,0.000129944,,worse,ns
sub12_k5_simple,3,risk,0.05,0.05,False,0.133333,0.166667,0.166667,0.00160989,0.00160989,0.00223712,0.00237984,better,better
sub12_k5_simple,3,benefit,0.05,0,True,-1.84,-1.84444,0,1.69548e-06,,3.0571e-06,,worse,ns
sub12_k5_simple,4,risk,0.1,0.1,False,0.54,0.415556,0.415556,2.04506e-05,2.04506e-05,3.47336e-05,4.34576e-05,better,better
sub12_k5_simple,4,benefit,0.05,0,True,-0.248889,-0.297778,0,7.50414e-05,,9.58221e-05,,worse,ns
sub15_k3_constrained,1,risk,0.05,0,True,-0.968889,-0.991111,0,1.69441e-06,,3.70228e-06,,worse,ns
sub15_k3_constrained,2,risk,0.05,0,True,-0.824444,-0.833333,0,1.69227e-06,,3.70228e-06,,worse,ns
sub15_k3_constrained,2,benefit,0.05,0,True,-0.784444,-0.764444,0,1.6594e-06,,3.0571e-06,,worse,ns
sub15_k3_constrained,3,risk,0.05,0,True,-1.63111,-1.67556,0,1.71593e-06,,3.70228e-06,,worse,ns
sub15_k3_constrained,3,benefit,0.05,0,True,-1.64667,-1.66222,0,1.70299e-06,,3.0571e-06,,worse,ns
sub15_k3_constrained,4,risk,0.05,0,True,-1.38667,-1.42222,0,1.70622e-06,,3.70228e-06,,worse,ns
sub15_k3_constrained,4,benefit,0.05,0,True,-1.37111,-1.4,0,1.71918e-06,,3.0571e-06,,worse,ns
sub15_k3_simple,1,risk,0.05,0,True,-0.984444,-0.997778,0,1.64577e-06,,3.70228e-06,,worse,ns
sub15_k3_simple,2,risk,0.05,0,True,-0.92,-0.942222,0,1.71593e-06,,3.70228e-06,,worse,ns
sub15_k3_simple,2,benefit,0.05,0,True,-0.633333,-0.622222,0,1.70729e-06,,3.0571e-06,,worse,ns
sub15_k3_simple,3,risk,0.05,0,True,-1.7,-1.81556,0,1.70729e-06,,3.70228e-06,,worse,ns
sub15_k3_simple,3,benefit,0.05,0,True,-1.70222,-1.68667,0,1.70084e-06,,3.0571e-06,,worse,ns
sub15_k3_simple,4,risk,0.05,0,True,-1.54,-1.70222,0,1.68693e-06,,3.70228e-06,,worse,ns
sub15_k3_simple,4,benefit,0.05,0,True,-0.746667,-0.766667,0,1.71701e-06,,3.0571e-06,,worse,ns
sub15_k5_constrained,1,risk,0.05,0,True,-0.257778,-0.335556,0,2.39198e-06,,4.92195e-06,,worse,ns
sub15_k5_constrained,2,risk,0.2,0.2,False,0.157778,0.0955556,0.0955556,0.0638242,0.0638242,0.0784964,0.0834624,ns,ns
sub15_k5_constrained,2,benefit,0.05,0,True,-0.288889,-0.328889,0,2.73669e-06,,4.45383e-06,,worse,ns
sub15_k5_constrained,3,risk,0.05,0,True,-0.522222,-0.597778,0,1.89352e-06,,3.97267e-06,,worse,ns
sub15_k5_constrained,3,benefit,0.05,0,True,-1.63333,-1.59333,0,1.70945e-06,,3.0571e-06,,worse,ns
sub15_k5_constrained,4,risk,0.05,0,True,-0.313333,-0.426667,0,4.84542e-06,,9.25821e-06,,worse,ns
sub15_k5_constrained,4,benefit,0.05,0,True,-0.68,-0.76,0,1.69441e-06,,3.0571e-06,,worse,ns
sub15_k5_simple,1,risk,0.05,0,True,-0.295556,-0.331111,0,1.69013e-06,,3.70228e-06,,worse,ns
sub15_k5_simple,2,risk,0.1,0.1,False,1.11778,0.793333,0.793333,1.7246e-06,1.7246e-06,3.70228e-06,4.90177e-06,better,better
sub15_k5_simple,2,benefit,0.1,0.1,False,0.686667,0.528889,0.528889,1.1618e-05,1.1618e-05,1.6344e-05,1.60864e-05,better,better
sub15_k5_simple,3,risk,0.05,0,True,-0.0288889,-0.0688889,0,0.159979,,0.188108,,ns,ns
sub15_k5_simple,3,benefit,0.05,0,True,-0.653333,-0.693333,0,1.71485e-06,,3.0571e-06,,worse,ns
sub15_k5_simple,4,risk,0.1,0.1,False,0.973333,0.377778,0.377778,0.000896624,0.000896624,0.00126235,0.00138569,better,better
sub15_k5_simple,4,benefit,0.1,0.1,False,0.24,-0.16,-0.16,0.232386,0.232386,0.241101,0.261434,ns,ns
sub18_k3_constrained,1,risk,0.05,0,True,-0.562222,-0.62,0,1.69334e-06,,3.70228e-06,,worse,ns
sub18_k3_constrained,2,risk,0.3,0.3,False,0.326667,0.122222,0.122222,0.22152,0.22152,0.249501,0.251056,ns,ns
sub18_k3_constrained,2,benefit,0.3,0.3,False,1.44667,1.37778,1.37778,1.71809e-06,1.71809e-06,3.0571e-06,3.11603e-06,better,better
sub18_k3_constrained,3,risk,0.05,0,True,-0.862222,-0.884444,0,1.69441e-06,,3.70228e-06,,worse,ns
sub18_k3_constrained,3,benefit,0.05,0,True,-0.895556,-0.935556,0,1.68693e-06,,3.0571e-06,,worse,ns
sub18_k3_constrained,4,risk,0.3,0.3,False,2.6,2.49778,2.49778,1.72677e-06,1.72677e-06,3.70228e-06,4.90177e-06,better,better
sub18_k3_constrained,4,benefit,0.3,0.3,False,5.1,4.68889,4.68889,1.72351e-06,1.72351e-06,3.0571e-06,3.11603e-06,better,better
sub18_k3_simple,1,risk,0.05,0,True,-0.608889,-0.622222,0,1.688e-06,,3.70228e-06,,worse,ns
sub18_k3_simple,2,risk,0.05,0,True,-0.591111,-0.608889,0,1.67312e-06,,3.70228e-06,,worse,ns
sub18_k3_simple,2,benefit,0.3,0.3,False,4.47556,4.60222,4.60222,1.72786e-06,1.72786e-06,3.0571e-06,3.11603e-06,better,better
sub18_k3_simple,3,risk,0.05,0,True,-0.931111,-0.971111,0,1.70299e-06,,3.70228e-06,,worse,ns
sub18_k3_simple,3,benefit,0.05,0,True,-0.833333,-0.913333,0,1.71377e-06,,3.0571e-06,,worse,ns
sub18_k3_simple,4,risk,0.05,0,True,-0.866667,-0.937778,0,1.70945e-06,,3.70228e-06,,worse,ns
sub18_k3_simple,4,benefit,0.3,0.3,False,9.32889,9.63556,9.63556,1.73113e-06,1.73113e-06,3.0571e-06,3.11603e-06,better,better
sub18_k5_constrained,1,risk,0.05,0,True,-0.566667,-0.631111,0,1.66256e-06,,3.70228e-06,,worse,ns
sub18_k5_constrained,2,risk,0.2,0.2,False,0.415556,0.193333,0.193333,0.057014,0.057014,0.070936,0.077539,ns,ns
sub18_k5_constrained,2,benefit,0.2,0.2,False,0.355556,0.0777778,0.0777778,0.416107,0.416107,0.421181,0.440583,ns,ns
sub18_k5_constrained,3,risk,0.05,0,True,-0.762222,-0.92,0,1.72243e-06,,3.70228e-06,,worse,ns
sub18_k5_constrained,3,benefit,0.05,0,True,-0.877778,-0.955556,0,1.69548e-06,,3.0571e-06,,worse,ns
