stratum,coverage,encoding,src_rate,tgt_rate,src_key,tgt_key,delta,direction,ece_threshold,auroc_threshold,auroc_indist,auroc_transfer,auroc_drop,ece_indist,ece_transfer,ece_ratio,brier_indist,brier_transfer,n_info_src,n_info_tgt,degenerate_src,degenerate_tgt,is_robust
k3_constrained,3,constrained,0.050000,0.120000,sub05_k3_constrained,sub12_k3_constrained,0.070000,up,2.000000,0.050000,,0.023715,,,0.230118,,,0.057730,0,254,True,False,False
k3_constrained,3,constrained,0.050000,0.150000,sub05_k3_constrained,sub15_k3_constrained,0.100000,up,2.000000,0.050000,,0.534617,,,0.500418,,,0.260031,0,287,True,False,False
k3_constrained,3,constrained,0.090000,0.010000,sub09_k3_constrained,sub01_k3_constrained,0.080000,down,2.000000,0.050000,1.000000,,,0.135919,,,0.028391,,37,0,False,True,False
k3_constrained,3,constrained,0.090000,0.050000,sub09_k3_constrained,sub05_k3_constrained,0.040000,down,2.000000,0.050000,1.000000,,,0.135919,,,0.028391,,37,0,False,True,False
k3_constrained,3,constrained,0.090000,0.120000,sub09_k3_constrained,sub12_k3_constrained,0.030000,up,2.000000,0.050000,1.000000,0.138340,0.861660,0.135919,0.173700,1.277965,0.028391,0.034686,37,254,False,False,False
k3_constrained,3,constrained,0.090000,0.150000,sub09_k3_constrained,sub15_k3_constrained,0.060000,up,2.000000,0.050000,1.000000,0.592187,0.407813,0.135919,0.443829,3.265385,0.028391,0.206389,37,287,False,False,False
k3_constrained,3,constrained,0.090000,0.180000,sub09_k3_constrained,sub18_k3_constrained,0.090000,up,2.000000,0.050000,1.000000,,,0.135919,,,0.028391,,37,0,False,True,False
k3_constrained,3,constrained,0.090000,0.200000,sub09_k3_constrained,sub20_k3_constrained,0.110000,up,2.000000,0.050000,1.000000,,,0.135919,,,0.028391,,37,0,False,True,False
k3_constrained,3,constrained,0.120000,0.010000,sub12_k3_constrained,sub01_k3_constrained,0.110000,down,2.000000,0.050000,0.802372,,,0.014356,,,0.005336,,254,0,False,True,False
k3_constrained,3,constrained,0.120000,0.050000,sub12_k3_constrained,sub05_k3_constrained,0.070000,down,2.000000,0.050000,0.802372,,,0.014356,,,0.005336,,254,0,False,True,False
k3_constrained,3,constrained,0.120000,0.090000,sub12_k3_constrained,sub09_k3_constrained,0.030000,down,2.000000,0.050000,0.802372,1.000000,-0.197628,0.014356,0.091775,6.392975,0.005336,0.012793,254,37,False,False,False
k3_constrained,3,constrained,0.120000,0.150000,sub12_k3_constrained,sub15_k3_constrained,0.030000,up,2.000000,0.050000,0.802372,0.627238,0.175133,0.014356,0.284132,19.792496,0.005336,0.089339,254,287,False,False,False
k3_constrained,3,constrained,0.120000,0.180000,sub12_k3_constrained,sub18_k3_constrained,0.060000,up,2.000000,0.050000,0.802372,,,0.014356,,,0.005336,,254,0,False,True,False
k3_constrained,3,constrained,0.120000,0.200000,sub12_k3_constrained,sub20_k3_constrained,0.080000,up,2.000000,0.050000,0.802372,,,0.014356,,,0.005336,,254,0,False,True,False
k3_constrained,3,constrained,0.150000,0.050000,sub15_k3_constrained,sub05_k3_constrained,0.100000,down,2.000000,0.050000,0.568095,,,0.015337,,,0.010498,,287,0,False,True,False
k3_constrained,3,constrained,0.150000,0.090000,sub15_k3_constrained,sub09_k3_constrained,0.060000,down,2.000000,0.050000,0.568095,1.000000,-0.431905,0.015337,0.286943,18.709345,0.010498,0.092812,287,37,False,False,False
k3_constrained,3,constrained,0.150000,0.120000,sub15_k3_constrained,sub12_k3_constrained,0.030000,down,2.000000,0.050000,0.568095,0.920949,-0.352853,0.015337,0.257701,16.802709,0.010498,0.071189,287,254,False,False,False
k3_constrained,3,constrained,0.150000,0.180000,sub15_k3_constrained,sub18_k3_constrained,0.030000,up,2.000000,0.050000,0.568095,,,0.015337,,,0.010498,,287,0,False,True,False
k3_constrained,3,constrained,0.150000,0.200000,sub15_k3_constrained,sub20_k3_constrained,0.050000,up,2.000000,0.050000,0.568095,,,0.015337,,,0.010498,,287,0,False,True,False
k3_constrained,3,constrained,0.180000,0.090000,sub18_k3_constrained,sub09_k3_constrained,0.090000,down,2.000000,0.050000,,0.500000,,,0.367568,,,0.201622,0,37,True,False,False
k3_constrained,3,constrained,0.180000,0.120000,sub18_k3_constrained,sub12_k3_constrained,0.060000,down,2.000000,0.050000,,0.500000,,,0.256693,,,0.070525,0,254,True,False,False
k3_constrained,3,constrained,0.180000,0.150000,sub18_k3_constrained,sub15_k3_constrained,0.030000,down,2.000000,0.050000,,0.500000,,,0.526713,,,0.286988,0,287,True,False,False
k3_constrained,3,constrained,0.180000,0.200000,sub18_k3_constrained,sub20_k3_constrained,0.020000,up,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k3_constrained,3,constrained,0.200000,0.090000,sub20_k3_constrained,sub09_k3_constrained,0.110000,down,2.000000,0.050000,,0.500000,,,0.367568,,,0.201622,0,37,True,False,False
k3_constrained,3,constrained,0.200000,0.120000,sub20_k3_constrained,sub12_k3_constrained,0.080000,down,2.000000,0.050000,,0.500000,,,0.256693,,,0.070525,0,254,True,False,False
k3_constrained,3,constrained,0.200000,0.150000,sub20_k3_constrained,sub15_k3_constrained,0.050000,down,2.000000,0.050000,,0.500000,,,0.526713,,,0.286988,0,287,True,False,False
k3_constrained,3,constrained,0.200000,0.180000,sub20_k3_constrained,sub18_k3_constrained,0.020000,down,2.000000,0.050000,,,,,,,,,0,0,True,True,False
